sector,quadrant,content_group,bwd_norm,fwd_norm,va_multiplier_simple,domestic_content_share,import_content_share,export_content_share,total_intermediate_share,coef,stderr,pval,sig,direction
H50,Q1 Key (High BL+FL),Export-intensive,1.4541954714063785,1.3149969560639223,0.6799971900820022,0.3472910740649533,0.2413129694466354,0.4709421430381418,0.647963056153362,-0.0358733596154714,,,,
H51,"Q4 Backward (High BL, Low FL)",Export-intensive,1.6269599256806249,0.541053053176692,0.5459847818927391,0.1466240668504332,0.2144099409979356,0.5082084053211279,0.8500371261193859,-0.0264826702565137,,,,
H52,Q3 Weak (Low BL+FL),Domestic-intensive,0.6145757776797096,0.6530287714369202,0.8707145262542799,0.748638832934251,0.0780954576368475,0.0925038298924729,0.2440007892593557,0.5972369746458547,0.1618115508159468,0.001447429830828,***,Positive
H53,Q3 Weak (Low BL+FL),Domestic-intensive,0.7374424260710928,0.5842586305912593,0.8758258893636721,0.6737083228932169,0.0648012363687688,0.1631225303864041,0.3201033587716078,-0.2012021204660206,,,,
I,Q1 Key (High BL+FL),Domestic-intensive,1.471822860722222,2.0634223391661366,0.7497204083597944,0.3969750864175997,0.0853879361187658,3.975279152383912e-06,0.5849417883310053,-0.0191536093500342,,,,
J58T60,Q1 Key (High BL+FL),Import-intensive,1.6254865468233637,1.2563129572520444,0.5123957675875059,0.1649311765462826,0.2485908790946394,0.0352769143641219,0.8268087703712675,0.3580062868247102,0.1529113651486519,0.0296872747107506,**,Positive
J61,Q3 Weak (Low BL+FL),Domestic-intensive,0.6563315807748327,0.6947906303882695,0.8465550206731584,0.6690472855516226,0.1004295588001152,0.1795521700871707,0.3269582302487634,-0.1725265203252774,,,,
J62_63,Q3 Weak (Low BL+FL),Domestic-intensive,0.4700327469644074,0.1864365652609005,0.8818946340359295,0.7709702787533893,0.0722388070936551,0.1607265365540115,0.2250194512418371,-0.2887992087215643,,,,
K,"Q2 Forward (Low BL, High FL)",Domestic-intensive,0.4057933449839988,3.62020790516221,0.9174779349724356,0.8096997586404248,0.0462354873193723,0.039073602241775,0.1889992946685607,-0.1765019426194789,,,,
L,Q3 Weak (Low BL+FL),Domestic-intensive,0.5032693089260498,0.1144540240494932,0.8914298396284829,0.7662375090519928,0.0425805056556799,0.1001869040646033,0.2311802343379682,0.141,0.078,0.084,*,Positive
M,"Q2 Forward (Low BL, High FL)",Domestic-intensive,0.8403830146550106,1.1416608028630222,0.7669588564667569,0.5814657390149169,0.1303691429834132,0.1214097569490526,0.4101412823116153,0.0602346948500121,,,,
N,"Q4 Backward (High BL, Low FL)",Domestic-intensive,1.212091755373751,0.7960638325259533,0.7018706896498008,0.4101193177111474,0.1831984484555648,0.3285060589238223,0.5782090937640252,-0.3106543031651275,0.1478317992751985,0.0484812488759727,**,Negative
O,Q3 Weak (Low BL+FL),Domestic-intensive,0.5392886592712498,0.1007288586273959,0.9049936089982769,0.7766345259014131,0.0496128241950685,1.528247302524581e-05,0.2179544677447648,-0.0594328258908119,,,,
P,Q3 Weak (Low BL+FL),Domestic-intensive,0.7504572430746256,0.0503061164211226,0.8276156784458635,0.6673464107237008,0.0676518431842199,1.0430568249507269e-05,0.3250128054852675,0.0211515872799046,,,,
Q,Q3 Weak (Low BL+FL),Domestic-intensive,0.4631949635911185,0.0161056558373965,0.8791217269280334,0.7725414871813976,0.0529942579857126,1.4900949572097427e-05,0.2220899308650455,-0.1165711992218733,,,,
R,Q3 Weak (Low BL+FL),Domestic-intensive,0.7929876034741958,0.3007438071589459,0.8212799182833115,0.6359731767823678,0.0681786248006357,0.0057166598738584,0.3567580531997849,-0.1028044874245537,,,,
S,Q3 Weak (Low BL+FL),Domestic-intensive,0.9704213085566888,0.3388595630820508,0.770023706858241,0.5599536448131529,0.1013326783079512,4.497377029774524e-05,0.4302760534439414,-0.1632992939079439,,,,
T,Q3 Weak (Low BL+FL),Domestic-intensive,0.0,0.0,1.0,1.0,0.0,0.0,0.0,,,,,
